 馬名,Ｃ,性齢,状態,厩舎,着度数,収得賞金,種牡馬,母名,馬主,生産者,生産地,馬記号,生年,誕生日,血統登録番号,取引価格,馬名の意味由来,欧字馬名
エイブルボス,,牡2,不在,(美)二ノ宮敬, 0- 0- 0- 0,0,キングヘイロー,エイブルアロー,中澤隆,山際牧場,新ひだか町,,2012,3月18日,2012102624,,冠名＋ボス,"Able Boss"
スノセイ,,牡2,不在,(美)和田正道, 0- 0- 0- 0,0,プリサイスエンド,ショウリノホホエミ,和田牧場,木村牧場,日高町,,2012,3月5日,2012101202,315万円,家族名より,Sunosei
トーセンペンタゴン,,牡2,不在,(美)菅原泰夫, 0- 0- 0- 2,0,シンボリクリスエス,トーセンキャッスル,島川隆哉,エスティファーム,日高町,,2012,3月6日,2012101095,,冠名＋アメリカ国防総省、五角形の建物,"Tosen Pentagon"
トーセンミッション,,牡2,不在,(美)菅原泰夫, 0- 0- 0- 1,0,アグネスデジタル,バーガンディレッド,島川隆哉,エスティファーム,日高町,,2012,2月27日,2012101116,,冠名＋使命,"Tosen Mission"
ワトソンクリック,,牡2,在厩,(美)小桧山悟, 0- 0- 0- 0,0,ホワイトマズル,ジュウモンジ,本杉芳郎,メイプルファーム,日高町,,2012,4月10日,2012101970,,人名より＋人名より,"Watson Crick"
アサマ,,牡2,在厩,(美)小桧山悟, 0- 0- 0- 0,0,ハイアーゲーム,ブロードスマイル,江川伸夫,川上牧場,新冠町,,2012,2月23日,2012106191,,山名より,Asama
トーセンジャズ,,牡2,不在,(美)奥平雅士, 0- 0- 1- 0,0,ハーツクライ,スリリングヴィクトリー,島川隆哉,秋田牧場,新冠町,,2012,2月7日,2012100022,1050万円,冠名＋音楽の曲調,"Tosen Jazz"
トーセンアスリート,,牡2,不在,(美)上原博之, 0- 0- 0- 1,0,フレンチデピュティ,エスペラーダ,島川隆哉,エスティファーム,日高町,,2012,2月9日,2012101080,,冠名＋運動選手,"Tosen Athlete"
トーセンギガ,,牡2,不在,(美)小桧山悟, 0- 0- 0- 0,0,トーセンファントム,トーセンスマッシュ,島川隆哉,エスティファーム,日高町,,2012,2月22日,2012101100,,冠名＋壮大な数,"Tosen Giga"
ナムラビッグマン,,牡2,不在,(栗)目野哲也, 0- 0- 0- 0,0,サクラバクシンオー,ナムラローマン,奈村信重,八田ファーム,新ひだか町,,2012,2月22日,2012103390,,冠名＋巨人、大きな男,"Namura Bigman"
デンコウハシャ,,牡2,在厩,(栗)坂口正則, 0- 1- 0- 1,0,バゴ,レガシーウィンド,田中康弘,へいはた牧場,新ひだか町,,2012,3月3日,2012103521,588万円,冠名＋覇者。天下を治める者,"Denko Hasha"
トーセンカナロア,,牡2,不在,(美)小桧山悟, 0- 0- 0- 0,0,ブラックタイド,メジロレント,島川隆哉,レイクヴィラファーム,洞爺湖町,,2012,5月18日,2012103950,1470万円,冠名＋ハワイの四大神の一つ,"Tosen Kanaloa"
トーセンヌーヴォー,,牡2,在厩,(美)成島英春, 0- 0- 0- 1,0,ネオユニヴァース,シシーダルザス,島川隆哉,秋田牧場,新冠町,,2012,4月24日,2012100020,1365万円,冠名＋新しい（仏）,"Tosen Nouveau"
トーセンアプローズ,,牡2,在厩,(美)成島英春, 0- 0- 0- 1,0,ソングオブウインド,アンジェロファニー,島川隆哉,エスティファーム,日高町,,2012,2月11日,2012101078,,冠名＋喝采,"Tosen Applause"
トーセンリバティ,,牡2,在厩,(美)上原博之, 0- 0- 0- 0,0,トーセンファントム,ニシノニチリン,島川隆哉,エスティファーム,日高町,,2012,4月15日,2012101114,,冠名＋自由,"Tosen Liberty"
アロハカウボーイ,,牡2,不在,(栗)村山明, 0- 0- 0- 0,0,キングカメハメハ,ペニーブラック,金子真人ホールディングス,日高大洋牧場,日高町,,2012,5月20日,2012101812,,ハワイのカウボーイ,"Aloha Cowboy"
ソワンドタイガー,,牡2,不在,(美)伊藤伸一, 0- 0- 0- 0,0,カネヒキリ,シルバーインゴット,西村静子,小河豊水,新ひだか町,,2012,4月11日,2012102209,262.5万円,心遣い（仏）＋トラ,"Soin de Tiger"
クリノツーイーソー,,牡2,不在,(美)伊藤伸一, 0- 0- 0- 0,0,トーセンダンス,クリノオードリー,栗本博晴,近藤牧場,浦河町,,2012,3月21日,2012105247,,冠名＋字一色（麻雀用語）,"Kurino Ziyise"
コマクサ,,牡2,不在,(美)小桧山悟, 0- 0- 0- 0,0,マーベラスサンデー,コマケン,江川伸夫,森田芳男,新冠町,,2012,3月10日,2012100895,,植物名,Komakusa
クールバジリスク,,牡2,抹消,(栗)目野哲也, 0- 0- 0- 1,0,Arcano,カブリオレ,川上哲司,アイオイファーム,浦河町,,2012,3月16日,2012102046,,冠名＋想像上の生物の一種,"Cool Basilisk"
トーセンバジル,,牡2,在厩,(栗)藤原英昭, 0- 1- 0- 0,0,ハービンジャー,ケアレスウィスパー,島川隆哉,ノーザンファーム,安平町,,2012,3月1日,2012104614,14175万円,冠名＋バジル。花言葉「何という幸運」,"Tosen Basil"
ラッシュボール,,牡2,在厩,(美)松永康利, 0- 0- 0- 1,0,パーソナルラッシュ,モエレカントリー,スリースターズレーシング,イスズ牧場,浦河町,,2012,2月11日,2012106137,,ラッシュ＋球,"Rush Ball"
ジャジャンケン,,牡2,在厩,(美)松永康利, 0- 0- 0- 0,0,シンボリクリスエス,デライトシーン,スリースターズレーシング,神垣道弘,新ひだか町,,2012,4月25日,2012106261,315万円,じゃんけんのかけ声,Jajanken
