血統登録番号, 馬名,性別,年齢,状態,厩舎,種牡馬,母名,母父名,毛色,収得賞金,本賞金,着度数,馬主,生産者,状態
2012102624,エイブルボス,牡,2,不在,(美)二ノ宮敬,キングヘイロー,エイブルアロー,サクラバクシンオー,黒鹿,0,0, 0- 0- 0- 0,中澤隆,山際牧場,不在
2012101202,スノセイ,牡,2,不在,(美)和田正道,プリサイスエンド,ショウリノホホエミ,マンハッタンカフェ,鹿毛,0,0, 0- 0- 0- 0,和田牧場,木村牧場,不在
2012101095,トーセンペンタゴン,牡,2,不在,(美)菅原泰夫,シンボリクリスエス,トーセンキャッスル,フレンチデピュティ,青毛,0,50, 0- 0- 0- 2,島川隆哉,エスティファーム,不在
2012101116,トーセンミッション,牡,2,不在,(美)菅原泰夫,アグネスデジタル,バーガンディレッド,"Star de Naskra",栗毛,0,0, 0- 0- 0- 1,島川隆哉,エスティファーム,不在
2012101970,ワトソンクリック,牡,2,在厩,(美)小桧山悟,ホワイトマズル,ジュウモンジ,ティンバーカントリー,鹿毛,0,0, 0- 0- 0- 0,本杉芳郎,メイプルファーム,在厩
2012106191,アサマ,牡,2,在厩,(美)小桧山悟,ハイアーゲーム,ブロードスマイル,ブライアンズタイム,黒鹿,0,0, 0- 0- 0- 0,江川伸夫,川上牧場,在厩
2012100022,トーセンジャズ,牡,2,不在,(美)奥平雅士,ハーツクライ,スリリングヴィクトリー,"Event of the Year",黒鹿,0,180, 0- 0- 1- 0,島川隆哉,秋田牧場,不在
2012101080,トーセンアスリート,牡,2,不在,(美)上原博之,フレンチデピュティ,エスペラーダ,"Fusaichi Pegasus",鹿毛,0,0, 0- 0- 0- 1,島川隆哉,エスティファーム,不在
2012101100,トーセンギガ,牡,2,不在,(美)小桧山悟,トーセンファントム,トーセンスマッシュ,トウカイテイオー,黒鹿,0,0, 0- 0- 0- 0,島川隆哉,エスティファーム,不在
2012103390,ナムラビッグマン,牡,2,不在,(栗)目野哲也,サクラバクシンオー,ナムラローマン,ダンスインザダーク,鹿毛,0,0, 0- 0- 0- 0,奈村信重,八田ファーム,不在
2012103521,デンコウハシャ,牡,2,在厩,(栗)坂口正則,バゴ,レガシーウィンド,サンデーサイレンス,青鹿,0,280, 0- 1- 0- 1,田中康弘,へいはた牧場,在厩
2012103950,トーセンカナロア,牡,2,不在,(美)小桧山悟,ブラックタイド,メジロレント,メジロブライト,鹿毛,0,0, 0- 0- 0- 0,島川隆哉,レイクヴィラファーム,不在
2012100020,トーセンヌーヴォー,牡,2,在厩,(美)成島英春,ネオユニヴァース,シシーダルザス,Sicyos,栗毛,0,0, 0- 0- 0- 0,島川隆哉,秋田牧場,在厩
2012101078,トーセンアプローズ,牡,2,在厩,(美)成島英春,ソングオブウインド,アンジェロファニー,"Honour and Glory",鹿毛,0,0, 0- 0- 0- 0,島川隆哉,エスティファーム,在厩
2012101114,トーセンリバティ,牡,2,在厩,(美)上原博之,トーセンファントム,ニシノニチリン,メジロマックイーン,鹿毛,0,0, 0- 0- 0- 0,島川隆哉,エスティファーム,在厩
2012101812,アロハカウボーイ,牡,2,不在,(栗)村山明,キングカメハメハ,ペニーブラック,"Redoute's Choice",黒鹿,0,0, 0- 0- 0- 0,金子真人ホールディングス,日高大洋牧場,不在
2012102209,ソワンドタイガー,牡,2,不在,(美)伊藤伸一,カネヒキリ,シルバーインゴット,"Silver Hawk",栗毛,0,0, 0- 0- 0- 0,西村静子,小河豊水,不在
